Month,Container Tons,Auto Tons,Ro/Ro Tons (excl. autos),Forest Products (Break Bulk),Steel & other metals Break Bulk Tons,other Break Bulk Tons,Total General Cargo Tons,Import Loaded TEUs,Export Loaded TEUs,Total Loaded TEUs,Import Empty TEUs,Export Empty TEUs,Total Empty TEUs,Total TEUs,Total Containers,Import Auto Units,Export Auto Units,Total Auto UNITS,Import Ro/Ro Tons,Export Ro/Ro Tons
Jan 1998,"360,095","18,386","32,967","54,189","15,705","27,515","508,857","16,051","17,418","33,469","3,199","1,436","4,635","38,104","23,789","9,452","2,391","11,843","22,160","10,807"
Feb 1998,"359,722","20,085","37,156","42,726","13,805","31,879","505,373","16,228","16,846","33,074","3,045","2,056","5,101","38,175","23,874","11,206","1,393","12,599","23,405","13,751"
Mar 1998,"377,748","27,610","57,077","43,910","10,344","31,001","547,690","18,577","18,570","37,147","5,906","3,525","9,431","46,578","28,926","14,570","2,967","17,537","40,470","16,607"
Apr 1998,"377,397","21,900","56,087","48,180","5,663","33,094","542,321","17,777","18,157","35,934","2,712","3,070","5,769","41,703","25,985","11,715","2,342","14,057","39,312","16,775"
May 1998,"382,760","25,824","40,905","25,530","4,022","37,509","516,550","18,178","17,104","35,282","2,407","3,242","5,626","40,908","26,250","15,081","1,790","16,871","28,865","12,040"
Jun 1998,"352,392","17,489","48,952","53,063","6,269","27,930","506,095","17,330","16,534","33,864","2,334","2,767","5,101","38,965","24,525","9,335","2,030","11,365","30,161","18,791"
Jul 1998,"357,057","25,671","49,305","41,792","7,962","30,969","512,756","19,906","15,814","35,720","1,585","3,952","5,573","41,293","25,805","13,087","3,387","16,474","34,298","15,007"
Aug 1998,"326,098","24,566","35,679","48,902","1,076","31,797","468,118","17,360","14,429","31,789","1,106","3,566","4,672","36,461","22,828","13,548","2,348","15,896","23,433","12,246"
Sep 1998,"347,255","25,921","36,486","33,705","4,897","23,785","472,049","18,461","15,526","33,987","1,632","6,059","7,691","41,678","26,279","10,979","5,544","16,523","21,869","14,599"
Oct 1998,"341,109","23,317","40,906","38,134","7,629","27,885","478,980","17,063","15,224","32,287","1,632","3,843","5,475","37,762","23,676","10,751","4,269","15,020","25,648","15,258"
Nov 1998,"363,909","27,243","31,750","36,347","6,958","22,808","489,015","18,757","16,302","35,059","1,518","6,838","8,356","43,415","27,105","11,494","5,935","17,429","20,332","11,418"
Dec 1998,"376,873","31,486","39,223","54,660","7,080","23,322","532,644","20,070","15,527","35,597","2,021","4,339","6,360","41,957","26,337","13,050","7,560","20,610","24,425","14,798"
Jan 1999,"354,061","17,850","35,342","33,616","5,232","28,549","474,650","17,146","14,473","31,619","2,480","4,543","7,023","38,642","24,408","7,992","3,643","11,635","26,034","9,308"
Feb 1999,"337,174","23,635","43,634","55,589","6,861","25,940","492,833","17,277","15,714","32,991","1,569","4,858","6,427","39,418","24,506","12,320","3,123","15,443","34,179","9,455"
Mar 1999,"399,545","28,928","52,834","47,712","7,855","23,836","560,710","20,091","17,823","37,914","1,890","5,899","7,789","45,703","28,299","15,261","3,930","19,191","37,616","15,218"
Apr 1999,"371,764","24,752","40,378","31,617","8,428","35,673","512,612","18,310","15,205","33,515","2,019","5,137","7,156","40,671","25,671","12,623","3,243","15,866","25,902","14,476"
May 1999,"367,222","36,985","58,766","77,869","6,986","33,491","581,319","18,566","15,037","33,603",848,"4,584","5,432","39,035","25,163","20,535","3,739","24,274","40,542","18,224"
Jun 1999,"404,508","25,232","43,211","44,442","6,519","28,429","552,341","21,993","15,778","37,771","1,428","5,186","6,614","44,385","28,125","12,682","3,740","16,422","29,814","13,397"
Jul 1999,"356,406","32,392","42,511","78,138","7,396","27,814","544,657","20,444","14,193","34,637","1,050","5,255","6,305","40,942","25,905","16,668","3,894","20,562","27,327","15,184"
Aug 1999,"405,548","24,518","28,162","74,057","4,096","29,092","565,473","22,174","16,846","39,020",444,"8,376","8,820","47,840","30,191","12,302","3,577","15,879","16,620","11,542"
Sep 1999,"336,656","24,752","29,912","73,051","5,815","36,268","506,454","18,886","13,068","31,954",356,"5,225","5,581","37,535","23,815","13,347","2,783","16,130","19,498","10,414"
Oct 1999,"363,451","23,242","32,299","95,893","5,942","28,368","549,195","18,725","15,274","33,999",617,"5,693","6,310","40,309","25,580","13,155","1,786","14,941","19,144","13,155"
Nov 1999,"376,080","35,866","33,169","46,174","8,136","33,770","533,195","18,659","15,737","34,396","1,189","5,778","6,967","41,363","26,399","21,659","1,671","23,330","22,290","10,879"
Dec 1999,"368,074","30,696","26,146","75,931","8,697","29,213","538,757","19,587","14,985","34,572","1,350","6,320","7,670","42,242","26,977","17,965","1,902","19,867","18,310","7,836"
Jan 2000,"346,894","20,330","30,819","76,607","5,911","25,355","505,916","17,691","13,257","30,948",452,"4,455","4,907","35,855","23,459","10,855","2,351","13,206","21,106","9,713"
Feb 2000,"362,398","25,341","35,402","48,771","7,514","26,354","505,780","18,506","15,337","33,843",682,"6,199","6,881","40,724","26,161","14,087","2,463","16,550","25,159","10,243"
Mar 2000,"395,585","30,490","56,690","96,216","12,214","25,242","616,437","19,581","17,051","36,632","1,001","7,110","8,111","44,743","28,755","17,220","2,527","19,747","40,023","16,667"
Apr 2000,"370,667","25,894","45,500","37,352","8,744","22,536","510,693","19,756","14,479","34,235",648,"6,355","7,003","41,238","26,979","14,616","1,956","16,572","29,288","16,212"
May 2000,"408,851","30,507","46,819","36,202","8,188","29,834","560,401","22,278","15,821","38,099",396,"5,886","6,282","44,381","28,506","17,298","2,590","19,888","34,962","11,857"
Jun 2000,"375,913","23,054","40,137","80,600","5,380","21,575","546,659","21,290","14,253","35,543",372,"6,565","6,937","42,480","27,416","13,383","1,713","15,096","29,101","11,036"
Jul 2000,"361,631","26,644","35,739","55,915","5,515","21,284","506,728","22,118","13,194","35,312",418,"9,426","9,744","45,056","28,923","16,564","1,543","18,107","25,488","10,251"
Aug 2000,"382,889","26,503","31,150","55,499","5,408","19,972","521,421","21,174","16,625","37,799",496,"11,539","12,035","49,834","31,757","15,318","1,886","17,204","22,513","8,637"
